id,Timestamp,Category,Money,Description,Details
781691509,2022-07-28T07:03:19.386546+00:00,contract,-12375,Orange juice contract from Steffen Inc,"{""quantity"": 250, ""quality"": 7, ""price"": ""$49.500""}"
781691490,2022-07-28T07:03:18.270108+00:00,contract,-12375,Orange juice contract from Steffen Inc,"{""quantity"": 250, ""quality"": 7, ""price"": ""$49.500""}"
781691448,2022-07-28T07:03:16.000374+00:00,contract,-67000,Samosa contract from PEDROTTI,"{""quantity"": 100, ""quality"": 7, ""price"": ""$670.000""}"
781684995,2022-07-28T06:55:21.821061+00:00,production,-31004,Production of Electronics research,"{""amount"": 118, ""price"": ""$262.75"", ""quality"": 0}"
781684961,2022-07-28T06:55:18.890618+00:00,production,-31004,Production of Electronics research,"{""amount"": 118, ""price"": ""$262.75"", ""quality"": 0}"
781684873,2022-07-28T06:55:09.334936+00:00,production,-31004,Production of Electronics research,"{""amount"": 118, ""price"": ""$262.75"", ""quality"": 0}"
781684841,2022-07-28T06:55:06.538133+00:00,production,-31004,Production of Electronics research,"{""amount"": 118, ""price"": ""$262.75"", ""quality"": 0}"
781528476,2022-07-28T04:02:52.395383+00:00,executive salaries,-20001,Executive salaries,{}
781127365,2022-07-28T00:04:49.837707+00:00,interest,-825,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""SharkzInc.""}"
781127352,2022-07-28T00:04:49.814173+00:00,interest,-357,Bond interest payment,"{""bond value"": ""$70000"", ""interest"": ""0.5%"", ""owner"": ""Rune Store DUS""}"
781127343,2022-07-28T00:04:49.793186+00:00,interest,-255,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""Green Electricity""}"
781126829,2022-07-28T00:04:48.739194+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""Frosch Corb.""}"
781125613,2022-07-28T00:04:45.924717+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""SF AEROSPACE INDUSTRY""}"
781125610,2022-07-28T00:04:45.914340+00:00,interest,-790,Bond interest payment,"{""bond value"": ""$155000"", ""interest"": ""0.5%"", ""owner"": ""Deekshi Inc""}"
781125562,2022-07-28T00:04:45.817181+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""Norsc Corp""}"
